displayName,objectType,mail,userType,id,deviceId,userPrincipalName,isUser,isGroup,isGuest
Regional-Mgr-AP-11,group,Regional-Mgr-AP-11@wal-mart.com,,898aba54-8793-43d6-b3e8-5e55776f87f3,,,False,True,False
Regional-Mgr-AP-12,group,Regional-Mgr-AP-12@wal-mart.com,,94322cc4-31e5-4657-9782-b459af648886,,,False,True,False
Regional-Mgr-AP-13,group,Regional-Mgr-AP-13@wal-mart.com,,2bde2697-287b-481d-a6a9-1a74c2f7bfc2,,,False,True,False
Regional-Mgr-AP-14,group,Regional-Mgr-AP-14@wal-mart.com,,685316f4-a8f0-490d-9545-b797af658c86,,,False,True,False
Regional-Mgr-AP-16,group,Regional-Mgr-AP-16@wal-mart.com,,ec9038da-e90c-4e1a-8d87-0581b5bd60fc,,,False,True,False
Regional-Mgr-AP-17,group,Regional-Mgr-AP-17@wal-mart.com,,2b4f1a01-2e05-4621-974d-0176034fd437,,,False,True,False
Regional-Mgr-AP-19,group,Regional-Mgr-AP-19@wal-mart.com,,43bf4a2a-01d6-4c9f-b17d-d698581851a7,,,False,True,False
Regional-Mgr-AP-2,group,Regional-Mgr-AP-2@wal-mart.com,,78f72599-e7f3-4f6b-993e-af876b49f0c3,,,False,True,False
Regional-Mgr-AP-20,group,Regional-Mgr-AP-20@wal-mart.com,,d3eaebc7-0bf6-460e-93e3-fe6c79c7ef44,,,False,True,False
Regional-Mgr-AP-21,group,Regional-Mgr-AP-21@wal-mart.com,,0f9a38a9-d83b-4397-92de-157d9bc2b215,,,False,True,False
Regional-Mgr-AP-22,group,Regional-Mgr-AP-22@wal-mart.com,,c3a203c9-298a-4be6-b75c-afbbb1ed6c74,,,False,True,False
Regional-Mgr-AP-25,group,Regional-Mgr-AP-25@wal-mart.com,,4206d0fc-896c-4788-80c3-f98335f89798,,,False,True,False
Regional-Mgr-AP-26,group,Regional-Mgr-AP-26@wal-mart.com,,a2ff05b3-ae76-4e6e-b13e-2c045c5b1bad,,,False,True,False
Regional-Mgr-AP-29,group,Regional-Mgr-AP-29@wal-mart.com,,4d42da9b-1134-4224-a889-35301b206150,,,False,True,False
Regional-Mgr-AP-3,group,Regional-Mgr-AP-3@wal-mart.com,,ace190a9-d1a9-4ef9-ad58-e084c9108f0f,,,False,True,False
Regional-Mgr-AP-4,group,Regional-Mgr-AP-4@wal-mart.com,,f2ad5bc1-6c65-4721-8bf1-b86f2e502365,,,False,True,False
Regional-Mgr-AP-40,group,Regional-Mgr-AP-40@wal-mart.com,,1c9e10a6-df40-4cef-9286-e68a081f77c7,,,False,True,False
Regional-Mgr-AP-41,group,Regional-Mgr-AP-41@wal-mart.com,,9259e501-88b6-41ae-87cb-f325bc9f33e9,,,False,True,False
Regional-Mgr-AP-42,group,Regional-Mgr-AP-42@wal-mart.com,,90a18d58-7ed8-491a-8ae1-926a7c7cbafc,,,False,True,False
Regional-Mgr-AP-44,group,Regional-Mgr-AP-44@wal-mart.com,,94ff48fe-5130-4f43-a4b0-b37166c9c39f,,,False,True,False
Regional-Mgr-AP-46,group,Regional-Mgr-AP-46@wal-mart.com,,e4f8c0f5-559f-4482-8673-0149098dc41e,,,False,True,False
Regional-Mgr-AP-47,group,Regional-Mgr-AP-47@wal-mart.com,,6ff07111-49fe-4f3d-8148-43ba9ed836cc,,,False,True,False
